framework,ncpu,iter,elapsed,flops
hpx-plainmpi-join,48,64,0.01349401,29367700000.0
hpx-plainmpi-join,48,512,0.01309834,240397000000.0
hpx-plainmpi-join,48,4096,0.02458885,1023590000000.0
hpx-plainmpi-join,48,32768,0.09924502,2028612000000.0
hpx-plainmpi-join,48,262144,0.7049708,2284656000000.0
hpx-plainmpi-join,48,2097152,5.341606,2412178000000.0
hpx-plainmpi-join,48,16777216,42.39133,2431611000000.0
hpx-plainmpi-join,48,64,0.0126992,31205740000.0
hpx-plainmpi-join,48,512,0.01415878,222392100000.0
hpx-plainmpi-join,48,4096,0.0302993,830675900000.0
hpx-plainmpi-join,48,32768,0.09837704,2046511000000.0
hpx-plainmpi-join,48,262144,0.7066602,2279194000000.0
hpx-plainmpi-join,48,2097152,5.374582,2397378000000.0
hpx-plainmpi-join,48,16777216,42.42656,2429591000000.0
hpx-plainmpi-join,48,64,0.01330725,29779860000.0
hpx-plainmpi-join,48,512,0.01425469,220895700000.0
hpx-plainmpi-join,48,4096,0.04566622,551149100000.0
hpx-plainmpi-join,48,32768,0.099798,2017372000000.0
hpx-plainmpi-join,48,262144,0.7137379,2256593000000.0
hpx-plainmpi-join,48,2097152,5.460457,2359675000000.0
hpx-plainmpi-join,48,16777216,43.27382,2382023000000.0
hpx-plainmpi-join,48,64,0.01174949,33728090000.0
hpx-plainmpi-join,48,512,0.01447791,217489900000.0
hpx-plainmpi-join,48,4096,0.02191654,1148397000000.0
hpx-plainmpi-join,48,32768,0.09867673,2040295000000.0
hpx-plainmpi-join,48,262144,0.7064759,2279789000000.0
hpx-plainmpi-join,48,2097152,5.336693,2414399000000.0
hpx-plainmpi-join,48,16777216,42.64329,2417244000000.0
hpx-plainmpi-join,48,64,0.0145871,27167010000.0
hpx-plainmpi-join,48,512,0.01455405,216352100000.0
hpx-plainmpi-join,48,4096,0.02335519,1077657000000.0
hpx-plainmpi-join,48,32768,0.09974042,2018536000000.0
hpx-plainmpi-join,48,262144,0.7077238,2275769000000.0
hpx-plainmpi-join,48,2097152,5.338094,2413765000000.0
hpx-plainmpi-join,48,16777216,42.46577,2427348000000.0
hpx-plainmpi-join,96,64,0.01777677,44584930000.0
hpx-plainmpi-join,96,512,0.01719814,366179100000.0
hpx-plainmpi-join,96,4096,0.02939401,1712519000000.0
hpx-plainmpi-join,96,32768,0.104861,3839934000000.0
hpx-plainmpi-join,96,262144,0.7244994,4446148000000.0
hpx-plainmpi-join,96,2097152,5.373417,4795796000000.0
hpx-plainmpi-join,96,16777216,42.66046,4832541000000.0
hpx-plainmpi-join,96,64,0.0180703,43860700000.0
hpx-plainmpi-join,96,512,0.01772336,355327600000.0
hpx-plainmpi-join,96,4096,0.02653978,1896692000000.0
hpx-plainmpi-join,96,32768,0.1022139,3939378000000.0
hpx-plainmpi-join,96,262144,0.7187479,4481727000000.0
hpx-plainmpi-join,96,2097152,5.396702,4775103000000.0
hpx-plainmpi-join,96,16777216,43.01186,4793060000000.0
hpx-plainmpi-join,96,64,0.03070335,25813990000.0
hpx-plainmpi-join,96,512,0.01934783,325493900000.0
